"Date","Video Views","Profile Views","Likes","Comments","Shares"
"10 February","2218","56","34","0","30"
"11 February","3644","74","77","3","21"
"12 February","3469","61","78","0","29"
"13 February","1990","40","24","1","13"
"14 February","2344","61","29","2","20"
"15 February","3373","77","53","1","17"
"16 February","1661","26","22","1","13"
"17 February","1978","46","37","1","7"
"18 February","1442","24","15","0","4"
"19 February","1301","28","15","2","3"
"20 February","1203","22","27","1","6"
"21 February","3023","56","59","1","17"
"22 February","1651","29","19","0","7"
"23 February","1078","23","11","0","5"
"24 February","1195","24","19","1","5"
"25 February","2083","28","54","1","5"
"26 February","2664","52","74","0","13"
"27 February","1763","43","33","1","11"
"28 February","1360","27","31","1","5"
"1 March","1498","39","25","0","1"
"2 March","1197","24","18","0","3"
"3 March","1495","19","26","1","4"
"4 March","1376","24","36","1","6"
"5 March","1350","24","21","1","7"
"6 March","2006","36","36","0","3"
"7 March","1789","34","55","0","5"
"8 March","1211","23","19","2","4"
"9 March","2079","44","39","3","7"
"10 March","2462","31","40","2","6"
"11 March","1893","31","37","1","2"
"12 March","1098","20","25","1","1"
"13 March","1315","25","28","1","1"
"14 March","1331","32","23","0","1"
