"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Follows,Comments,Saves
18121596466600319,17841467003410365,3m.lounge,"3M Lounge","هلّ هلالو.. ومحلاها أياماتو! 🌙🕌

رمضان مبروك على الناس الكل، ربي يحييكم لأمثالو بالخير والهناء. ❤️
استناونا في سهرات و ""جو"" رمضاني سبيسيال في 3M Lounge. ☕✨

#Romdhan2026 #RamadanVibes #Sahriya #Denden #Manouba #JawTunisi #سنين_دايمة",0,"02/18/2026 09:56",https://www.instagram.com/p/DU6I7D6Dsw4/,"IG image",,Lifetime,133,67,3,0,0,0,0
18081861761006791,17841467003410365,3m.lounge,"3M Lounge","نودّك ولا نشهّيك.. 🤤البنّة.. ملّخر! 😍
السعادة هي كريب 3M Lounge.

#3M_Lounge #Crepe  #Denden  #كريب #بنة #دندان",0,"02/15/2026 11:23",https://www.instagram.com/p/DUykdpRjheu/,"IG image",,Lifetime,465,15735,13,0,0,0,0
18066841967299808,17841467003410365,3m.lounge,"3M Lounge","⁨	🥛✨ رشفة وحدة منlait de poule ... تفهم علاش البنّة هذي ما تتقارن بحد.
📍 3M Lounge – Denden​
#LaitDePoule #3M_Lounge #Denden #BennaLuxe #لايت_دو_بول #بنّة #دندان #بنّة #رمضان #ميلك_شيك⁩",13,"03/15/2026 09:01",https://www.instagram.com/reel/DV6TmAuGlpm/,"IG reel",,Lifetime,10955,31818,10,0,1,0,1
18532154629067800,17841467003410365,3m.lounge,"3M Lounge","🎶 Live Show à ne pas rater ! 🎶
👍 Premier arrivé premier servi 
يستقبلكم 3M Lounge في سهرة موسيقية مميزة مع الفنان
✨ نبيل بن محمد ✨

📅 ليلة السبت 14 مارس
🕗 بداية من الساعة الثامنة ليلاً

💥 الدخول مجاني

قعدة بنينة بين الأصحاب والعائلة
وأجواء موسيقية تونسية على كيفنا ❤️

📞 Infoline : 20133482

#3MLounge
#LiveShow
#SoiréeTunisienne
#نبيل_بن_محمد
#SortirEnTunisie
Ambiance",0,"03/13/2026 14:40",https://www.instagram.com/reel/DV1wxhzjMNS/,"IG reel",,Lifetime,160,86,0,0,0,0,0
18452395402102438,17841467003410365,3m.lounge,"3M Lounge","🍹✨ موخيتو فرشك ... موخيتو يتعاش.
📍 3M Lounge – Denden
#Mojito #3M_Lounge #Denden #ChillDrink #موخيتو #بنّة #TunisianVibes #دندان #BennaLuxe #رمضان #بنّة",11,"03/13/2026 09:01",https://www.instagram.com/reel/DV1KAtJDqPt/,"IG reel",,Lifetime,155,110,4,0,0,0,0
18084786464221246,17841467003410365,3m.lounge,"3M Lounge","⁨	🥤✨ الميلك شيك 3M louange .. ويوفى الكلام!
بنّة من أول رشفة.. والتصويرة تحكي وحدها.
📍 3M Lounge – Denden, Manouba​
#Milkshake #3M_Lounge #Denden #Manouba #ميلك_شيك #بنّة #دندان #AllFlavors #رمضان #Romdhan2026 #Manouba #BennaLuxe⁩",18,"03/11/2026 11:46",https://www.instagram.com/reel/DVwTRWqjipm/,"IG reel",,Lifetime,295,231,6,0,0,0,0
17878116900529987,17841467003410365,3m.lounge,"3M Lounge","كيما عودناكم الجديد و العروض الكبرى تلقاوها عنا و على خاطركم المرة هاذي مسرحية من العيار الثقيل 
🌙✨ سهرة ضحك على كيفكم في رمضان! Mr Propre
🎭 One Man Show – للفنان الكبير وليد الزين
ضحك ومواقف طريفة… الجو رمضاني مليان فرحة  و مفاجآت باش تزيد تحلي السهرة 😄
✨ قريبًا بـ 3M Lounge ✨
نحبوا نعرفوا رأيكم 👇
تحبوا نبرمجوا عرض “Mr Propre” في 3M Lounge في رمضان؟
قولولنا في التعليقات
#3M_Lounge
#MrPropre
#WalidEzzine
#OneManShow
#سهرة_رمضانية",0,"03/10/2026 19:12",https://www.instagram.com/p/DVuhorMDOmY/,"IG image",,Lifetime,169,74,1,0,0,0,0
17988232457949618,17841467003410365,3m.lounge,"3M Lounge","🎶 Live Show à ne pas rater ! 🎶
👍 Premier arrivé premier servi 
يستقبلكم 3M Lounge في سهرة موسيقية مميزة مع الفنان
✨ نبيل بن محمد ✨

📅 ليلة السبت 14 مارس
🕗 بداية من الساعة الثامنة ليلاً

💥 الدخول مجاني

قعدة بنينة بين الأصحاب والعائلة
وأجواء موسيقية تونسية على كيفنا ❤️

📞 Infoline : 20133482

#3MLounge
#LiveShow
#SoiréeTunisienne
#نبيل_بن_محمد
#SortirEnTunisie
Ambiance",0,"03/10/2026 09:39",https://www.instagram.com/p/DVtf_xeDP5_/,"IG image",,Lifetime,155,70,2,0,0,0,0
17914206945321061,17841467003410365,3m.lounge,"3M Lounge","سهريّة رمضان عندها طعم وحدو.. 🌙✨ 
قعدة ما تتنساش مع الي تحبهم. 
‏3M Lounge والبنّة، والذكريات الحلوة. 🤍 

‏#SahriyaRamadan #Romdhan2026 #3M_Lounge #Denden #Manouba RamadanVibes سهرية_رمضان دندان",40,"03/10/2026 08:30",https://www.instagram.com/reel/DVtYD1bjOX0/,"IG reel",,Lifetime,326,187,9,3,1,0,0
17860162302612139,17841467003410365,3m.lounge,"3M Lounge","تبعا لطلب حرفائنا الكرام ✨
موعد جديد مع الفنان نبيل بن محمد
وذلك يوم الأحد 8 مارس 
🎶 بداية من الساعة الثامنة ليلاً
في أجواء طربية مميزة ولمة حلوة بين الأصحاب والعائلة.
📍 3M Lounge
☎️ للحجز والاستفسار: 20133482
#3M_Lounge
#سهرة_طربية
#ليلة_على_كيفنا
#لمة_الأحباب
#Tunisie
SortirEnTunisie",0,"03/08/2026 11:16",https://www.instagram.com/reel/DVohRUgjPeg/,"IG reel",,Lifetime,255,177,3,2,0,0,0
18088001000227734,17841467003410365,3m.lounge,"3M Lounge","تبعا لطلب حرفائنا الكرام ✨
موعد جديد مع الفنان نبيل بن محمد
وذلك يوم الأحد 8 فيفري
🎶 بداية من الساعة الثامنة ليلاً
في أجواء طربية مميزة ولمة حلوة بين الأصحاب والعائلة.
📍 3M Lounge
☎️ للحجز والاستفسار: 20133482
#3M_Lounge
#سهرة_طربية
#ليلة_على_كيفنا
#لمة_الأحباب
#Tunisie
SortirEnTunisie",0,"03/07/2026 14:34",https://www.instagram.com/p/DVmaOfFDEtR/,"IG image",,Lifetime,139,62,0,0,0,0,0
